Linux 6.18.5-100.fc42.x86_64 (midu-thinkpadp16vgen1.rmtat.csb) 	01/23/2026 	_x86_64_	(16 CPU)

04:18:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:21 PM   12    3.96    0.00   18.81    0.00    0.99   74.26    0.00    0.00    0.00    1.98
04:18:21 PM   13    0.99    0.00   14.85    0.00    0.99   79.21    0.00    0.00    0.00    3.96
04:18:21 PM   14    1.98    0.00   14.85    0.00    0.99   79.21    0.00    0.00    0.00    2.97
04:18:21 PM   15    3.96    0.00   14.85    0.00    0.99   78.22    0.00    0.00    0.00    1.98

04:18:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:22 PM  all   11.77    0.88   14.40    0.00    0.50   68.94    0.00    0.00    0.00    3.51
04:18:22 PM    0    1.98    0.00   14.85    0.00    0.99   78.22    0.00    0.00    0.00    3.96
04:18:22 PM    1    9.00    0.00   13.00    0.00    1.00   74.00    0.00    0.00    0.00    3.00
04:18:22 PM    2   12.24    0.00   15.31    0.00    0.00   69.39    0.00    0.00    0.00    3.06
04:18:22 PM    3    2.97    0.00   16.83    0.00    0.99   75.25    0.00    0.00    0.00    3.96
04:18:22 PM    4   22.00    0.00   13.00    0.00    1.00   62.00    0.00    0.00    0.00    2.00
04:18:22 PM    5    4.00    0.00   15.00    0.00    0.00   77.00    0.00    0.00    0.00    4.00
04:18:22 PM    6   22.22    1.01   13.13    0.00    0.00   60.61    0.00    0.00    0.00    3.03
04:18:22 PM    7   21.78    1.98   12.87    0.00    0.99   60.40    0.00    0.00    0.00    1.98
04:18:22 PM    8    3.00    1.00   15.00    0.00    0.00   78.00    0.00    0.00    0.00    3.00
04:18:22 PM    9    4.00    0.00   14.00    0.00    1.00   78.00    0.00    0.00    0.00    3.00
04:18:22 PM   10    3.06    4.08   17.35    0.00    0.00   72.45    0.00    0.00    0.00    3.06
04:18:22 PM   11    4.90    0.00   16.67    0.00    0.98   73.53    0.00    0.00    0.00    3.92
04:18:22 PM   12    9.09    2.02   13.13    0.00    0.00   70.71    0.00    0.00    0.00    5.05
04:18:22 PM   13    4.04    4.04   15.15    0.00    0.00   71.72    0.00    0.00    0.00    5.05
04:18:22 PM   14    1.01    0.00   17.17    0.00    0.00   75.76    0.00    0.00    0.00    6.06
04:18:22 PM   15   63.00    0.00    8.00    0.00    1.00   26.00    0.00    0.00    0.00    2.00

04:18:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:23 PM  all    7.21    0.62   15.04    0.06    0.56   73.28    0.00    0.00    0.00    3.23
04:18:23 PM    0    1.00    0.00   15.00    0.00    0.00   81.00    0.00    0.00    0.00    3.00
04:18:23 PM    1    1.00    0.00   16.00    0.00    0.00   80.00    0.00    0.00    0.00    3.00
04:18:23 PM    2    0.99    0.00   14.85    0.00    0.99   78.22    0.00    0.00    0.00    4.95
04:18:23 PM    3    3.96    0.00   16.83    0.99    0.99   74.26    0.00    0.00    0.00    2.97
04:18:23 PM    4    3.00    0.00   15.00    0.00    0.00   79.00    0.00    0.00    0.00    3.00
04:18:23 PM    5    1.96    0.00   15.69    0.00    0.98   78.43    0.00    0.00    0.00    2.94
04:18:23 PM    6    4.95    0.00   13.86    0.00    0.99   76.24    0.00    0.00    0.00    3.96
04:18:23 PM    7    9.09    0.00   14.14    0.00    0.00   72.73    0.00    0.00    0.00    4.04
04:18:23 PM    8    3.96    0.00   14.85    0.00    0.99   77.23    0.00    0.00    0.00    2.97
04:18:23 PM    9    7.00    1.00   20.00    0.00    0.00   70.00    0.00    0.00    0.00    2.00
04:18:23 PM   10    0.99    2.97   14.85    0.00    0.99   75.25    0.00    0.00    0.00    4.95
04:18:23 PM   11    0.99    1.98   15.84    0.00    0.00   77.23    0.00    0.00    0.00    3.96
04:18:23 PM   12    7.00    2.00   15.00    0.00    1.00   74.00    0.00    0.00    0.00    1.00
04:18:23 PM   13    0.99    1.98   14.85    0.00    0.99   79.21    0.00    0.00    0.00    1.98
04:18:23 PM   14    4.95    0.00   15.84    0.00    0.99   72.28    0.00    0.00    0.00    5.94
04:18:23 PM   15   64.00    0.00    8.00    0.00    0.00   27.00    0.00    0.00    0.00    1.00

04:18:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:24 PM  all    7.32    0.06   14.26    0.00    0.38   75.23    0.00    0.00    0.00    2.75
04:18:24 PM    0    7.00    0.00   14.00    0.00    1.00   76.00    0.00    0.00    0.00    2.00
04:18:24 PM    1    1.00    0.00   15.00    0.00    1.00   81.00    0.00    0.00    0.00    2.00
04:18:24 PM    2   16.16    0.00   14.14    0.00    0.00   65.66    0.00    0.00    0.00    4.04
04:18:24 PM    3    1.00    0.00   15.00    0.00    0.00   77.00    0.00    0.00    0.00    7.00
04:18:24 PM    4    0.99    0.00   14.85    0.00    0.99   80.20    0.00    0.00    0.00    2.97
04:18:24 PM    5    1.01    0.00   15.15    0.00    0.00   79.80    0.00    0.00    0.00    4.04
04:18:24 PM    6    6.12    0.00   14.29    0.00    0.00   77.55    0.00    0.00    0.00    2.04
04:18:24 PM    7    1.00    0.00   15.00    0.00    0.00   82.00    0.00    0.00    0.00    2.00
04:18:24 PM    8    1.00    0.00   15.00    0.00    0.00   82.00    0.00    0.00    0.00    2.00
04:18:24 PM    9    0.99    0.00   14.85    0.00    0.99   81.19    0.00    0.00    0.00    1.98
04:18:24 PM   10   53.00    0.00    9.00    0.00    0.00   37.00    0.00    0.00    0.00    1.00
04:18:24 PM   11   19.00    1.00   14.00    0.00    1.00   63.00    0.00    0.00    0.00    2.00
04:18:24 PM   12    1.00    0.00   15.00    0.00    0.00   83.00    0.00    0.00    0.00    1.00
04:18:24 PM   13    5.94    0.00   13.86    0.00    0.00   77.23    0.00    0.00    0.00    2.97
